p1,p2,p3,p4,p5,q1,q2,q3,q4,u
-28.48993610623595,11.726851630090513,-87.70452255359817,16.194593800586603,-0.6284455787341352,0.07945745013228783,-0.014055804513660054,0.07815520387517387,-0.0210992704097321,-0.050895091356383336
-28.688059428435245,11.861958490371878,-88.41388487948527,16.56379872380455,-0.6304459006027686,0.07869523630057963,-0.014086526894890442,0.07738203321200357,-0.021086094029429406,-0.051400327764548365
-28.88676350888041,11.999334854569941,-89.12729700627325,16.93971168158212,-0.6324462224256945,0.07793893949789701,-0.014117326296265182,0.07661484955625385,-0.02107290129570057,-0.051911652270483305
-29.086023546340137,12.139018253041158,-89.8447268795802,17.322454810901064,-0.6344465442019017,0.07718849685659028,-0.014148203722451572,0.07585359107565867,-0.021059691884645515,-0.05242917083883185
-29.285813672377767,12.281046799516092,-90.56614006455995,17.71215250294945,-0.6364468659303534,0.07644384585969817,-0.01417916019098595,0.0750981963227512,-0.021046465469879927,-0.052952992239675686
-29.48610691550189,12.425459198526125,-91.2914996556817,18.10893144613017,-0.6384471876099844,0.07570492433255868,-0.014210196732451254,0.07434860422723008,-0.021033221722553966,-0.05348322815122212
-29.686875164074436,12.572294752835324,-92.02076618316855,18.512920669942414,-0.6404475092397027,0.074971670434307,-0.014241314390646902,0.07360475408823934,-0.021019960311362954,-0.05401999326477474
-29.888089127922825,12.721593370882733,-92.7538975159508,18.924251589788373,-0.6424478308183861,0.07424402264924988,-0.014272514222772459,0.07286658556655037,-0.021006680902569068,-0.054563405396421724
-30.08971829860814,12.87339557422047,-93.49084876099411,19.34305805270395,-0.6444481523448826,0.07352191977811151,-0.014303797299607327,0.07213403867664346,-0.02099338316001829,-0.055113585603025664
-30.29173090829398,13.027742504945532,-94.23157215884768,19.76947638404892,-0.6464484738180096,0.07280530092914093,-0.014335164705699366,0.07140705377867912,-0.020980066745163978,-0.05567065830187255
-30.494093887159966,13.184675933116933,-94.97601697525418,20.20364543517703,-0.648448795236552,0.07209410550907393,-0.014366617539551318,0.07068557157035435,-0.020966731317087282,-0.056234751398877195
-30.69677281930002,13.344238264152937,-95.72412938865226,20.645706632117182,-0.6504491165992617,0.07138827321393863,-0.014398156913817435,0.06996953307863328,-0.02095337653252525,-0.05680599642145347
-30.899731897045456,13.506472546195576,-96.47585237339902,21.095804025278202,-0.6524494379048561,0.07068774401969705,-0.014429783955499664,0.06925887965134656,-0.02094000204589728,-0.05738452865580168
-31.102933873645743,13.671422477439036,-97.23112557852427,21.554084340218594,-0.6544497591520171,0.06999245817271198,-0.014461499806146758,0.06855355294865016,-0.02092660750933287,-0.05797048729465665
-31.30634001423985,13.839132413409907,-97.98988520182432,22.02069702950137,-0.65645008033939,0.06930235618002734,-0.014493305622063754,0.06785349493433263,-0.020913192572707115,-0.05856401558715162
-31.509910045045732,14.009647374191333,-98.7520638590897,22.49579432566817,-0.6584504014655819,0.0686173787994533,-0.014525202574518958,0.06715864786696454,-0.020899756883672727,-0.05916526100200248
-31.7136021006946,14.183013051576369,-99.5175904482545,22.9795312953509,-0.6604507225291604,0.06793746702944245,-0.014557191849958413,0.0664689542908775,-0.02088630008769728,-0.059774375392368115
-31.917372669627543,14.359275816146699,-100.28639000823644,23.47206589457347,-0.6624510435286521,0.06726256209874465,-0.014589274650227338,0.06578435702696211,-0.02087282182810515,-0.060391515173882825
-32.12117653747541,14.53848272425535,-101.05838357223548,23.97355902524959,-0.6644513644625422,0.06659260545582903,-0.014621452192791595,0.06510479916327545,-0.020859321746118164,-0.061016841507726044
-32.32496672833105,14.720681524908432,-101.8334880152347,24.484174592933208,-0.6664516853292709,0.06592753875805718,-0.014653725710967049,0.06443022404544409,-0.0208457994809017,-0.06165052049567632
-32.52869444382319,14.905920666528461,-102.611615895441,25.004079565846343,-0.6684520061272335,0.06526730386059373,-0.014686096454154954,0.0637605752668503,-0.020832254669614667,-0.06229272338386793
-32.73230899989541,15.094249303583943,-103.392675289387,25.533444035219862,-0.6704523268547782,0.0646118428050386,-0.014718565688081326,0.06309579665858892,-0.020818686947461525,-0.06294362677681362
-32.9357577611881,15.285717303068694,-104.17656962040046,26.072441276983255,-0.6724526475102037,0.06396109780776503,-0.014751134695039157,0.06243583227918046,-0.020805095947745267,-0.0636034128624667
-33.13898607291304,15.48037525082014,-104.96319748012492,26.621247814861142,-0.6744529680917588,0.06331501124794306,-0.014783804774145318,0.06178062640402258,-0.020791481301931848,-0.0642722696496588
-33.34193719011114,15.678274457648406,-105.75245244277109,27.18004348488961,-0.676453288597639,0.06267352565523365,-0.014816577241594108,0.061130123514568514,-0.020777842639710026,-0.06495039121754845
-33.54455220417094,15.879466965263033,-106.54422287174658,27.749011501413666,-0.678453609025985,0.062036583697130575,-0.014849453430922676,0.060484268287211415,-0.020764179589060128,-0.06563797797642217
-33.74676996647974,16.08400555197861,-107.33839171829543,28.328338524617628,-0.6804539293748805,0.0614041281659305,-0.014882434693280476,0.059843005581858434,-0.020750491776324688,-0.06633523694919821
-33.94852700907818,16.29194373816747,-108.13483631176548,28.918214729608355,-0.6824542496423502,0.060776101965307285,-0.01491552239771016,0.05920628043017331,-0.020736778826287508,-0.06704238205688445
-34.14975746217184,16.503335791445625,-108.93342814108513,29.518833877130273,-0.6844545698263576,0.0601524480964697,-0.014948717931426955,0.05857403802347064,-0.02072304036224968,-0.06775963443225268
-34.35039296835317,16.718236731560047,-109.73403262701738,30.130393385946178,-0.6864548899248017,0.05953310964387214,-0.014982022700117349,0.057946223700233765,-0.020709276006120856,-0.0684872227397152
-34.5503625933729,16.93670233495401,-110.53650888472609,30.753094406950478,-0.6884552099355152,0.058918029760455286,-0.015015438128240672,0.05732278293323781,-0.020695485378511264,-0.0692253835203538
-34.74959273329743,17.158789138972836,-111.34070947617084,31.387141899048746,-0.6904555298562615,0.05830715165238897,-0.015048965659328806,0.05670366131625442,-0.020681668098820313,-0.06997436155691793
-34.948007017869266,17.38455444568714,-112.1464801518019,32.032744706888536,-0.6924558496847316,0.05770041856327855,-0.015082606756316674,0.0560888045503019,-0.02066782378535035,-0.07073441024773004
-35.14552620988196,17.61405632530035,-112.95365958100321,32.69011564050665,-0.6944561694185418,0.057097773757811644,-0.015116362901863177,0.05547815842942422,-0.020653952055410117,-0.07150579202189287
